NAICS_ID,ID_GROUP,Business Description,Date,Sales,Status
441,441,Motor vehicle and parts dealers,2021/01/01,104255.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2021/01/01,96537.0,Estimated
4411,441,Automobile dealers,2021/01/01,90463.0,Estimated
44111,441,New car dealers,2021/01/01,79954.0,Estimated
44112,441,Used car dealers,2021/01/01,10509.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2021/01/01,7718.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2021/01/01,17773.0,Estimated
442,442,Furniture and home furnishings stores,2021/01/01,10707.0,Estimated
4421,442,Furniture stores,2021/01/01,6099.0,Estimated
4422,442,Home furnishings stores,2021/01/01,0.0,Suppressed
44221,442,Floor covering stores,2021/01/01,0.0,Suppressed
442299,442,All other home furnishings stores,2021/01/01,0.0,Suppressed
443,443,Electronics and appliance stores,2021/01/01,7066.0,Estimated
443141,443,Household appliance stores,2021/01/01,1631.0,Estimated
443142,443,Electronics stores,2021/01/01,5435.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2021/01/01,31229.0,Estimated
4441,444,Building mat. and supplies dealers,2021/01/01,27143.0,Estimated
44412,444,Paint and wallpaper stores,2021/01/01,923.0,Estimated
44413,444,Hardware stores,2021/01/01,2352.0,Estimated
445,445,Food and beverage stores,2021/01/01,71726.0,Estimated
4451,445,Grocery stores,2021/01/01,64785.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2021/01/01,62085.0,Estimated
4453,445,"Beer, wine, and liquor stores",2021/01/01,5087.0,Estimated
446,446,Health and personal care stores,2021/01/01,29509.0,Estimated
44611,446,Pharmacies and drug stores,2021/01/01,25420.0,Estimated
447,447,Gasoline stations,2021/01/01,37214.0,Estimated
448,448,Clothing and clothing access. stores,2021/01/01,15740.0,Estimated
4481,448,Clothing stores,2021/01/01,10568.0,Estimated
44811,448,Men's clothing stores,2021/01/01,349.0,Estimated
44812,448,Women's clothing stores,2021/01/01,2043.0,Estimated
44814,448,Family clothing stores,2021/01/01,5903.0,Estimated
44819,448,Other clothing stores,2021/01/01,1184.0,Estimated
4482,448,Shoe stores,2021/01/01,2213.0,Estimated
44831,448,Jewelry stores,2021/01/01,2640.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2021/01/01,7421.0,Estimated
45111,451,Sporting goods stores,2021/01/01,4150.0,Estimated
45112,451,"Hobby, toy, and game stores",2021/01/01,1646.0,Estimated
451211,451,Book stores,2021/01/01,820.0,Estimated
452,452,General merchandise stores,2021/01/01,59643.0,Estimated
4521,452,Department stores,2021/01/01,8327.0,Estimated
452111,452,Department stores(excl. discount department stores),2021/01/01,1273.0,Estimated
452112,452,Discount dept. stores,2021/01/01,7054.0,Estimated
4529,452,Other general merchandise stores,2021/01/01,51316.0,Estimated
45291,452,Warehouse clubs and superstores,2021/01/01,44568.0,Estimated
45299,452,All other gen. merchandise stores,2021/01/01,6748.0,Estimated
453,453,Miscellaneous store retailers,2021/01/01,11175.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2021/01/01,1756.0,Estimated
45321,453,Office supplies and stationery stores,2021/01/01,885.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2021/01/01,871.0,Estimated
45330,453,Used merchandise stores,2021/01/01,1385.0,Estimated
454,454,Nonstore retailers,2021/01/01,78677.0,Estimated
4541,454,Electronic shopping and mail-order houses,2021/01/01,69830.0,Estimated
45431,454,Fuel dealers,2021/01/01,4115.0,Estimated
722,722,Food services and drinking places,2021/01/01,52757.0,Estimated
7224,722,Drinking places,2021/01/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2021/01/01,49022.0,Estimated
722511,722,Full service restaurants,2021/01/01,0.0,Suppressed
722513-722514-722515,722,Limited service eating places,2021/01/01,28457.0,Estimated
441,441,Motor vehicle and parts dealers,2021/02/01,102844.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2021/02/01,95324.0,Estimated
4411,441,Automobile dealers,2021/02/01,88477.0,Estimated
44111,441,New car dealers,2021/02/01,77192.0,Estimated
44112,441,Used car dealers,2021/02/01,11285.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2021/02/01,7520.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2021/02/01,16294.0,Estimated
442,442,Furniture and home furnishings stores,2021/02/01,10019.0,Estimated
4421,442,Furniture stores,2021/02/01,5691.0,Estimated
4422,442,Home furnishings stores,2021/02/01,0.0,Suppressed
44221,442,Floor covering stores,2021/02/01,0.0,Suppressed
442299,442,All other home furnishings stores,2021/02/01,0.0,Suppressed
443,443,Electronics and appliance stores,2021/02/01,6275.0,Estimated
443141,443,Household appliance stores,2021/02/01,1495.0,Estimated
443142,443,Electronics stores,2021/02/01,4780.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2021/02/01,29581.0,Estimated
4441,444,Building mat. and supplies dealers,2021/02/01,25613.0,Estimated
44412,444,Paint and wallpaper stores,2021/02/01,895.0,Estimated
44413,444,Hardware stores,2021/02/01,2203.0,Estimated
445,445,Food and beverage stores,2021/02/01,65894.0,Estimated
4451,445,Grocery stores,2021/02/01,59076.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2021/02/01,56547.0,Estimated
4453,445,"Beer, wine, and liquor stores",2021/02/01,4974.0,Estimated
446,446,Health and personal care stores,2021/02/01,27775.0,Estimated
44611,446,Pharmacies and drug stores,2021/02/01,23752.0,Estimated
447,447,Gasoline stations,2021/02/01,36284.0,Estimated
448,448,Clothing and clothing access. stores,2021/02/01,16592.0,Estimated
4481,448,Clothing stores,2021/02/01,10683.0,Estimated
44811,448,Men's clothing stores,2021/02/01,353.0,Estimated
44812,448,Women's clothing stores,2021/02/01,2069.0,Estimated
44814,448,Family clothing stores,2021/02/01,5920.0,Estimated
44819,448,Other clothing stores,2021/02/01,1187.0,Estimated
4482,448,Shoe stores,2021/02/01,2172.0,Estimated
44831,448,Jewelry stores,2021/02/01,3405.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2021/02/01,6409.0,Estimated
45111,451,Sporting goods stores,2021/02/01,3819.0,Estimated
45112,451,"Hobby, toy, and game stores",2021/02/01,1444.0,Estimated
451211,451,Book stores,2021/02/01,458.0,Estimated
452,452,General merchandise stores,2021/02/01,54183.0,Estimated
4521,452,Department stores,2021/02/01,7881.0,Estimated
452111,452,Department stores(excl. discount department stores),2021/02/01,1495.0,Estimated
452112,452,Discount dept. stores,2021/02/01,6386.0,Estimated
4529,452,Other general merchandise stores,2021/02/01,46302.0,Estimated
45291,452,Warehouse clubs and superstores,2021/02/01,39956.0,Estimated
45299,452,All other gen. merchandise stores,2021/02/01,6346.0,Estimated
453,453,Miscellaneous store retailers,2021/02/01,10508.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2021/02/01,1652.0,Estimated
45321,453,Office supplies and stationery stores,2021/02/01,763.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2021/02/01,889.0,Estimated
45330,453,Used merchandise stores,2021/02/01,1341.0,Estimated
454,454,Nonstore retailers,2021/02/01,73818.0,Estimated
4541,454,Electronic shopping and mail-order houses,2021/02/01,64683.0,Estimated
45431,454,Fuel dealers,2021/02/01,4423.0,Estimated
722,722,Food services and drinking places,2021/02/01,50475.0,Estimated
7224,722,Drinking places,2021/02/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2021/02/01,46299.0,Estimated
722511,722,Full service restaurants,2021/02/01,0.0,Suppressed
722513-722514-722515,722,Limited service eating places,2021/02/01,25819.0,Estimated
441,441,Motor vehicle and parts dealers,2020/01/01,93367.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2020/01/01,85832.0,Estimated
4411,441,Automobile dealers,2020/01/01,81214.0,Estimated
44111,441,New car dealers,2020/01/01,72074.0,Estimated
44112,441,Used car dealers,2020/01/01,9140.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2020/01/01,7535.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2020/01/01,16569.0,Estimated
442,442,Furniture and home furnishings stores,2020/01/01,9490.0,Estimated
4421,442,Furniture stores,2020/01/01,5148.0,Estimated
4422,442,Home furnishings stores,2020/01/01,4342.0,Estimated
44221,442,Floor covering stores,2020/01/01,0.0,Suppressed
442299,442,All other home furnishings stores,2020/01/01,2422.0,Estimated
443,443,Electronics and appliance stores,2020/01/01,7079.0,Estimated
443141,443,Household appliance stores,2020/01/01,1230.0,Estimated
443142,443,Electronics stores,2020/01/01,5849.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2020/01/01,26966.0,Estimated
4441,444,Building mat. and supplies dealers,2020/01/01,23709.0,Estimated
44412,444,Paint and wallpaper stores,2020/01/01,928.0,Estimated
44413,444,Hardware stores,2020/01/01,2059.0,Estimated
445,445,Food and beverage stores,2020/01/01,64567.0,Estimated
4451,445,Grocery stores,2020/01/01,58722.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2020/01/01,56141.0,Estimated
4453,445,"Beer, wine, and liquor stores",2020/01/01,4188.0,Estimated
446,446,Health and personal care stores,2020/01/01,28987.0,Estimated
44611,446,Pharmacies and drug stores,2020/01/01,24440.0,Estimated
447,447,Gasoline stations,2020/01/01,39696.0,Estimated
448,448,Clothing and clothing access. stores,2020/01/01,16873.0,Estimated
4481,448,Clothing stores,2020/01/01,12287.0,Estimated
44811,448,Men's clothing stores,2020/01/01,599.0,Estimated
44812,448,Women's clothing stores,2020/01/01,2402.0,Estimated
44814,448,Family clothing stores,2020/01/01,6899.0,Estimated
44819,448,Other clothing stores,2020/01/01,1225.0,Estimated
4482,448,Shoe stores,2020/01/01,2148.0,Estimated
44831,448,Jewelry stores,2020/01/01,2141.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2020/01/01,5867.0,Estimated
45111,451,Sporting goods stores,2020/01/01,2984.0,Estimated
45112,451,"Hobby, toy, and game stores",2020/01/01,1174.0,Estimated
451211,451,Book stores,2020/01/01,990.0,Estimated
452,452,General merchandise stores,2020/01/01,53203.0,Estimated
4521,452,Department stores,2020/01/01,8479.0,Estimated
452111,452,Department stores(excl. discount department stores),2020/01/01,2146.0,Estimated
452112,452,Discount dept. stores,2020/01/01,6333.0,Estimated
4529,452,Other general merchandise stores,2020/01/01,44724.0,Estimated
45291,452,Warehouse clubs and superstores,2020/01/01,38811.0,Estimated
45299,452,All other gen. merchandise stores,2020/01/01,5913.0,Estimated
453,453,Miscellaneous store retailers,2020/01/01,10394.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2020/01/01,2037.0,Estimated
45321,453,Office supplies and stationery stores,2020/01/01,963.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2020/01/01,1074.0,Estimated
45330,453,Used merchandise stores,2020/01/01,1501.0,Estimated
454,454,Nonstore retailers,2020/01/01,62245.0,Estimated
4541,454,Electronic shopping and mail-order houses,2020/01/01,53485.0,Estimated
45431,454,Fuel dealers,2020/01/01,4240.0,Estimated
722,722,Food services and drinking places,2020/01/01,61567.0,Estimated
7224,722,Drinking places,2020/01/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2020/01/01,54131.0,Estimated
722511,722,Full service restaurants,2020/01/01,27018.0,Estimated
722513-722514-722515,722,Limited service eating places,2020/01/01,27113.0,Estimated
